,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,itaituba,-4.28,-55.98,75.58,91,6,2.1,BR,1581381185
1,gat,31.61,34.76,48.2,81,75,6.93,IL,1581381185
2,hobart,-42.88,147.33,69.01,88,75,9.17,AU,1581381185
3,bauchi,10.5,10.0,67.8,20,0,8.57,NG,1581381185
4,chipinge,-20.19,32.62,67.71,94,100,4.79,ZW,1581381185
5,butaritari,3.07,172.79,84.11,77,94,21.47,KI,1581381134
6,ilulissat,69.22,-51.1,1.4,54,61,12.75,GL,1581381130
7,hithadhoo,-0.6,73.08,82.4,77,23,14.7,MV,1581381185
8,mount gambier,-37.83,140.77,64.4,93,90,14.99,AU,1581381185
9,bataipora,-22.3,-53.27,74.44,96,100,9.84,BR,1581381185
10,jamestown,42.1,-79.24,34.0,96,90,0.74,US,1581381185
11,avarua,-21.21,-159.78,84.2,83,99,13.76,CK,1581381185
12,fort nelson,58.81,-122.7,33.8,50,75,1.01,CA,1581381185
13,punta arenas,-53.15,-70.92,55.4,58,100,6.93,CL,1581381185
14,laguna,38.42,-121.42,73.99,19,5,24.16,US,1581380910
15,mataura,-46.19,168.86,55.99,85,4,14.0,NZ,1581381130
16,tuktoyaktuk,69.45,-133.04,-20.2,75,40,5.82,CA,1581381186
17,takoradi,4.88,-1.76,76.51,90,43,2.55,GH,1581381186
18,kodiak,57.79,-152.41,30.2,50,1,16.11,US,1581381186
19,asmara,15.33,38.93,55.33,88,84,3.89,ER,1581381186
20,hermanus,-34.42,19.23,70.0,90,0,5.99,ZA,1581381186
21,mayo,38.89,-76.51,48.99,93,90,8.05,US,1581381129
22,esperance,-33.87,121.9,66.2,63,90,10.29,AU,1581381186
23,lovington,32.94,-103.35,50.0,71,5,8.05,US,1581381186
24,iralaya,15.0,-83.23,80.6,78,20,10.29,HN,1581381186
25,kavieng,-2.57,150.8,83.82,79,99,13.85,PG,1581381137
26,albany,42.6,-73.97,39.0,86,90,3.2,US,1581380958
27,alice springs,-23.7,133.88,89.6,21,100,12.75,AU,1581381186
28,torbay,47.67,-52.73,28.0,79,90,11.41,CA,1581381186
29,busselton,-33.65,115.33,73.99,32,96,15.14,AU,1581381130
30,touros,-5.2,-35.46,80.6,83,20,6.93,BR,1581381186
31,kindia,10.06,-12.87,66.79,69,0,2.19,GN,1581381186
32,wajima,37.4,136.9,32.0,61,40,2.24,JP,1581381187
33,fortuna,40.6,-124.16,59.0,76,1,10.29,US,1581381187
34,husavik,66.04,-17.34,32.0,97,90,20.8,IS,1581381187
35,ungheni,47.2,27.8,43.0,86,95,4.7,MD,1581381187
36,san-pedro,4.75,-6.64,83.07,76,97,10.09,CI,1581381187
37,pinotepa nacional,16.32,-98.02,81.79,44,0,5.88,MX,1581381187
38,cape town,-33.93,18.42,70.0,77,0,12.75,ZA,1581381011
